2023-11-07 22:06:47 - Controller: Home, Action: SignUp
2023-11-07 22:06:48 - Controller: Home, Action: SignUp
2023-11-07 22:07:17 - Controller: Home, Action: SignUp
2023-11-07 22:10:57 - Controller: Home, Action: SignUp
2023-11-07 22:11:11 - Controller: Home, Action: SignUp
2023-11-07 22:11:12 - Controller: Home, Action: SignUp
2023-11-07 22:12:14 - Controller: Home, Action: Index
2023-11-07 22:12:15 - Controller: Home, Action: ShowConsultations
2023-11-07 22:12:16 - Controller: Home, Action: ToggleView
2023-11-07 22:12:16 - Controller: Home, Action: ToggleView
2023-11-07 22:12:17 - Controller: Home, Action: Index
2023-11-07 22:12:25 - Controller: Home, Action: CreateConsultation
2023-11-07 22:12:25 - Controller: Home, Action: Index
2023-11-07 22:14:54 - Controller: Home, Action: SignUp
2023-11-07 22:14:58 - Controller: Home, Action: SignUp
2023-11-07 22:15:06 - Controller: Home, Action: ShowConsultations
2023-11-07 22:15:07 - Controller: Home, Action: ToggleView
2023-11-07 22:15:38 - Controller: Home, Action: SignUp
2023-11-07 22:15:41 - Controller: Home, Action: SignUp
